2023:12:15 12:32:6 latitude:49.505516°N longitude:23.954834°E altitude:293.40m speed:0.17m
2023:12:15 12:32:7 latitude:49.505527°N longitude:23.954855°E altitude:290.70m speed:0.04m
2023:12:15 12:32:8 latitude:49.505535°N longitude:23.954859°E altitude:289.90m speed:0.41m
2023:12:15 12:32:9 latitude:49.505543°N longitude:23.954863°E altitude:289.80m speed:0.25m
2023:12:15 12:32:10 latitude:49.505543°N longitude:23.954863°E altitude:289.70m speed:0.36m
2023:12:15 12:32:11 latitude:49.505543°N longitude:23.954866°E altitude:289.20m speed:0.52m
2023:12:15 12:32:12 latitude:49.505550°N longitude:23.954874°E altitude:288.60m speed:0.24m
2023:12:15 12:32:13 latitude:49.505558°N longitude:23.954874°E altitude:288.50m speed:0.61m
2023:12:15 12:32:14 latitude:49.505558°N longitude:23.954878°E altitude:288.30m speed:0.06m
2023:12:15 12:32:15 latitude:49.505558°N longitude:23.954884°E altitude:288.00m speed:0.65m
2023:12:15 12:32:16 latitude:49.505566°N longitude:23.954887°E altitude:287.60m speed:0.17m
2023:12:15 12:32:17 latitude:49.505566°N longitude:23.954891°E altitude:287.20m speed:0.20m
2023:12:15 12:32:18 latitude:49.505566°N longitude:23.954891°E altitude:287.00m speed:0.04m
2023:12:15 12:32:19 latitude:49.505566°N longitude:23.954895°E altitude:286.60m speed:0.60m
2023:12:15 12:32:20 latitude:49.505573°N longitude:23.954899°E altitude:286.20m speed:0.23m
2023:12:15 12:32:21 latitude:49.505573°N longitude:23.954903°E altitude:285.70m speed:0.23m
2023:12:15 12:32:22 latitude:49.505581°N longitude:23.954903°E altitude:285.40m speed:0.14m
2023:12:15 12:32:23 latitude:49.505581°N longitude:23.954906°E altitude:285.20m speed:0.23m
2023:12:15 12:32:24 latitude:49.505581°N longitude:23.954906°E altitude:284.90m speed:0.55m
2023:12:15 12:32:25 latitude:49.505581°N longitude:23.954912°E altitude:284.70m speed:0.09m
2023:12:15 12:32:26 latitude:49.505581°N longitude:23.954912°E altitude:284.40m speed:0.18m
